net,length_um
read_data[26],12.48
row_cmd[3],12.48
net91,12.38
_086_,12.305
u_bank_manager.active_row_reg\[0\]\[9\],12.24
u_bank_manager.active_row_reg\[2\]\[10\],12.225
read_data[5],12.18
_362_,12.16
u_bank_manager.active_row_reg\[2\]\[4\],12.15
u_sdram_init.delay_counter\[14\],12.12
u_bank_manager.active_row_reg\[2\]\[7\],12.1
u_bank_manager.active_row_reg\[0\]\[11\],12
u_bank_manager.active_row_reg\[2\]\[11\],11.99
net4,11.86
u_bank_manager.active_row_reg\[2\]\[8\],11.845
_114_,11.785
address[13],11.78
_211_,11.62
column_cmd[5],11.56
u_bank_manager.active_row_reg\[3\]\[1\],11.54
net29,11.52
net32,11.44
read_data[12],11.33
read_data[16],11.26
read_data[28],11.26
_053_,11.245
_167_,11.2
_210_,11.2
read_data[1],11.15
net90,11.1
u_bank_manager.active_row_reg\[2\]\[2\],11.005
_356_,10.92
net119,10.86
_281_,10.82
net138,10.82
_194_,10.78
net129,10.78
_315_,10.74
_359_,10.74
refresh_cmd,10.64
u_bank_manager.active_row_reg\[1\]\[5\],10.62
u_bank_manager.active_row_reg\[1\]\[7\],10.54
_294_,10.5
_058_,10.485
_217_,10.28
u_bank_manager.active_row_reg\[3\]\[5\],10.2
_322_,10.16
u_bank_manager.bank_open_reg\[3\],10.16
_059_,10.065
row_cmd[1],9.88
u_bank_manager.active_row_reg\[0\]\[1\],9.84
u_bank_manager.active_row_reg\[0\]\[4\],9.8
u_sdram_init.delay_counter\[12\],9.73
address[15],9.64
address[3],9.64
activate_cmd,9.63
u_bank_manager.active_row_reg\[3\]\[0\],9.62
_323_,9.52
u_bank_manager.active_row_reg\[0\]\[6\],9.52
u_bank_manager.active_row_reg\[1\]\[4\],9.48
u_bank_manager.active_row_reg\[3\]\[9\],9.46
_090_,9.405
_122_,9.4
_349_,9.4
_004_,9.385
_091_,9.245
net3,9.22
_072_,9.185
_221_,9.18
_271_,9.155
_227_,9.14
_240_,9.08
u_bank_manager.bank_open_reg\[1\],8.98
column_cmd[6],8.96
read_data[15],8.96
read_data[9],8.96
_071_,8.945
u_bank_manager.active_row_reg\[1\]\[6\],8.94
_244_,8.9
u_command_generator.request_column_reg\[7\],8.82
_321_,8.78
u_bank_manager.active_row_reg\[1\]\[1\],8.78
_076_,8.765
_190_,8.74
_016_,8.735
address[11],8.72
address[19],8.72
net95,8.72
reset,8.72
net122,8.7
_143_,8.64
_179_,8.62
net110,8.62
_206_,8.56
_347_,8.56
net5,8.56
_113_,8.525
_241_,8.48
precharge_all_cmd,8.47
net34,8.44
net146,8.4
u_bank_manager.active_row_reg\[3\]\[8\],8.355
u_bank_manager.active_row_reg\[1\]\[11\],8.32
_085_,8.305
net22,8.3
net141,8.29
_343_,8.26
_260_,8.1
net26,8.1
_055_,7.98
_208_,7.98
u_command_generator.request_row_reg\[0\],7.98
net48,7.98
net50,7.98
net57,7.98
net58,7.98
net62,7.98
_124_,7.94
_342_,7.94
net109,7.94
u_bank_manager.active_row_reg\[1\]\[3\],7.9
u_bank_manager.active_row_reg\[2\]\[9\],7.89
_287_,7.88
_186_,7.78
_075_,7.695
_236_,7.68
_156_,7.615
_148_,7.6
_334_,7.58
column_cmd[2],7.58
init_done,7.58
row_cmd[0],7.58
row_cmd[6],7.58
_341_,7.56
_073_,7.465
_335_,7.46
_289_,7.44
net103,7.44
_193_,7.36
_061_,7.345
_066_,7.345
net56,7.3
net61,7.3
net45,7.26
net98,7.22
net134,7.22
_277_,7.2
u_bank_manager.active_row_reg\[3\]\[3\],7.2
net137,7.18
_352_,7.1
u_bank_manager.active_row_reg\[0\]\[10\],7.1
_197_,7.06
_220_,7.06
_249_,7.06
net116,7.06
u_sdram_init.delay_counter\[8\],7.055
_219_,6.96
_043_,6.885
_175_,6.86
u_command_generator.request_column_reg\[6\],6.76
_187_,6.64
_239_,6.64
_224_,6.6
_231_,6.6
_265_,6.6
_355_,6.52
_067_,6.485
_248_,6.4
_353_,6.4
_196_,6.32
address[16],6.31
address[5],6.31
_012_,6.3
net15,6.3
net18,6.3
net123,6.3
net144,6.26
_002_,6.225
_063_,6.185
_261_,6.18
net36,6.14
_180_,6.08
u_bank_manager.active_row_reg\[1\]\[2\],6.06
_092_,6.025
address[23],5.97
address[4],5.97
net28,5.92
_087_,5.855
_255_,5.84
net132,5.84
_351_,5.8
net9,5.8
net102,5.8
_361_,5.78
_044_,5.765
bank_cmd[1],5.75
precharge_cmd,5.75
row_cmd[11],5.75
row_cmd[9],5.75
_051_,5.725
_082_,5.725
_230_,5.68
_253_,5.68
_256_,5.68
net47,5.68
net65,5.68
net145,5.68
_014_,5.645
address[2],5.63
address[6],5.63
data_valid,5.63
_174_,5.6
_182_,5.6
_199_,5.6
_017_,5.525
net130,5.52
_038_,5.505
_042_,5.505
_068_,5.505
_165_,5.5
net131,5.5
net67,5.46
_093_,5.445
_052_,5.42
_184_,5.38
_191_,5.38
net125,5.38
_201_,5.34
_225_,5.34
_232_,5.34
_262_,5.34
net108,5.34
_101_,5.315
_029_,5.305
_228_,5.3
address[10],5.29
